nameP,gender,weightP,birthDate,roomNumber
glasses,f,23,1982-6-20,389
manipulate,m,10,2002-1-16,797
ethyl,m,14,1981-3-27,1429
shovel,f,6,1985-2-7,616
cloudy,f,35,1988-6-13,1238
cornmeal,f,40,1986-1-25,177
maracas,m,27,1977-1-13,773
removal,m,9,1982-7-20,146
allergist,f,11,1997-9-21,745
stop,f,30,1972-2-1,1357
rope,f,26,1992-5-27,399
emission,f,14,1986-4-26,700
appraise,f,24,1997-1-7,623
guarantee,f,19,1981-5-22,809
cantaloupe,f,27,1980-11-27,1436
earthy,m,15,1984-8-26,1030
variable,m,17,1983-2-19,247
uttermost,f,20,1983-5-23,691
behold,f,30,1997-7-21,1238
ideal,m,10,2001-8-17,415
archaeology,f,6,1989-4-6,768
repair,m,35,1994-2-7,191
veal,m,24,1994-9-14,1408
caviar,f,39,1973-10-2,415
follow,m,30,1988-1-10,368
seaweed,f,22,1991-5-2,1187
roster,f,34,1973-11-10,337
instrumentalist,f,14,1977-2-10,6
puzzle,m,26,1990-2-26,1112
kitsch,f,7,2000-12-25,1065
light,m,5,1994-9-13,577
velvet,m,35,1974-7-16,700
traffic,f,11,1973-4-14,839
wannabe,m,36,1971-10-5,187
lipoprotein,f,18,1996-3-5,534
wholesale,m,37,1975-12-4,437
cynical,f,33,1979-10-13,1298
behaviour,f,20,1998-11-13,420
jackal,f,25,1997-2-12,1145
servitude,m,36,2000-12-24,428
waterskiing,f,32,2001-6-28,1135
mineshaft,m,32,1983-10-17,1009
marionberry,m,35,1986-11-16,1282
inhibition,f,18,2000-12-22,381
acquisition,f,10,1999-6-14,278
calculate,f,19,1989-12-22,1125
righteous,f,40,1990-4-10,450
environment,f,23,1974-11-13,268
compensation,m,34,1999-1-1,1071
surface,f,35,1980-2-8,1003
expertise,m,10,1989-5-7,1059
copper,m,8,1982-6-19,1279
immigration,m,15,1995-4-9,1132
dashboard,m,7,1973-11-16,1395
thongs,m,2,1979-11-1,1186
diagram,m,32,1974-1-27,570
cravat,m,26,1992-12-14,68
technique,f,1,1976-3-20,1313
petal,f,2,1976-4-23,152
artist,f,21,1978-9-3,1127
listing,m,12,1989-7-13,611
snotty,m,11,1987-2-14,201
harmonious,f,30,1999-3-5,834
safeguard,f,35,1989-4-22,588
plover,f,40,1998-2-14,487
styling,f,5,2001-10-3,115
buck,m,39,1977-12-1,1326
qualify,m,24,1996-7-27,1242
anarchy,m,4,1983-2-6,912
fair,m,4,1978-6-2,1236
swell,m,29,1994-2-21,605
clammy,m,38,1976-10-19,1022
interviewer,m,29,1994-12-9,143
coconut,m,35,1991-10-23,839
handwrite,m,7,1986-11-21,586
modification,f,35,1986-6-17,1477
viewer,m,31,2002-5-23,1106
ruby,f,1,1989-6-16,1259
defiant,m,20,1984-7-3,1278
jungle,f,13,1980-6-2,1037
purchase,f,23,1990-1-4,263
known,f,28,1972-3-2,12
medication,f,12,1995-12-13,12
saw,m,6,1989-2-5,1086
sit,m,17,1982-3-17,154
knife,m,14,1975-5-3,1400
snap,m,34,1979-9-19,1359
inequality,f,9,1976-5-19,1086
tempt,m,39,1995-4-18,1256
moor,m,16,1986-7-19,67
realign,f,7,1978-3-16,521
advocate,m,17,1995-12-26,548
realign,f,27,1991-6-13,1114
elixir,m,12,1984-8-22,201
cummerbund,m,1,2001-2-10,1209
recorder,m,24,1983-5-19,981
guess,m,0,1972-2-10,1479
portrait,f,26,2002-2-16,1066
tail,f,10,1987-9-4,189
gavel,f,39,1994-2-19,982
passion,m,29,1971-4-26,704
canal,f,15,2002-2-13,811
page,m,4,1997-4-16,404
bleed,f,3,2001-8-26,794
wisteria,m,10,1970-7-7,358
burly,f,27,1997-3-18,1093
tasteful,m,2,1990-11-15,1334
snowplow,f,2,1979-10-5,1425
hardening,f,28,1998-12-4,256
empowerment,f,27,1993-7-9,1023
bibliography,m,0,1998-9-5,1495
childhood,f,26,1995-12-1,145
truth,m,14,1986-2-22,867
obedient,m,22,1977-10-7,1061
solicitor,m,34,1998-10-2,747
glockenspiel,f,19,1978-1-6,752
instinct,m,9,1985-4-25,1133
clipper,f,40,1989-1-4,127
dromedary,m,21,1985-12-14,499
trip,f,35,1974-7-2,682
treasury,m,17,1971-10-2,492
photodiode,m,21,1983-12-22,781
battleship,f,6,1976-3-14,175
deranged,m,15,1977-3-21,375
rehospitalization,f,37,1996-11-8,941
modernist,f,3,1970-9-19,502
shoulder,f,38,1989-4-13,576
identification,m,40,1982-11-20,507
pup,f,37,1974-2-4,53
shiver,m,5,1973-3-18,1272
arcade,m,25,1995-5-14,12
business,m,25,1986-12-5,825
anthropology,m,3,1993-1-5,649
sandbar,m,0,1986-3-3,1382
everybody,m,17,1992-10-2,1338
craft,m,2,1970-3-21,482
sassy,f,33,1986-6-16,996
vibraphone,m,15,2001-7-26,930
install,m,28,1997-2-24,532
dapper,m,24,1982-9-15,866
passive,f,10,1990-12-20,1350
publicize,f,13,1978-8-26,1337
dredger,m,31,1978-7-1,56
scare,f,19,1994-7-1,496
button,m,19,1993-1-25,999
trowel,m,8,1986-7-5,498
doctrine,m,2,1990-1-18,308
cocoa,m,37,1999-12-16,1488
ostrich,m,20,1976-11-4,838
routine,f,28,1973-3-18,807
espalier,m,1,1972-1-22,1093
bother,f,3,1990-9-28,927
assessment,m,17,1976-2-9,936
refuse,m,17,1997-2-19,1307
pinstripe,f,7,1975-4-4,74
solicitation,m,30,1972-10-13,890
brink,m,35,1991-1-14,834
browsing,f,28,1977-6-18,715
veil,f,22,1982-9-12,1060
dynamic,m,17,1972-4-6,483
semiconductor,m,22,1974-7-8,1243
golf,f,38,1999-6-25,1308
ketch,f,29,1998-3-27,917
howitzer,f,25,1974-5-9,689
zebra,f,27,1997-4-23,1196
detection,f,37,2002-4-15,1046
probation,f,37,1996-11-28,6
grenade,m,17,1994-12-5,613
messenger,f,9,1998-11-24,215
celebration,m,16,1988-2-21,332
chug,f,33,1996-6-12,685
wealth,m,37,1988-9-18,1371
nice,m,7,1999-4-18,987
skywalk,f,29,1984-2-2,1099
test,f,0,1973-5-3,851
cute,f,30,1971-11-25,1383
disguise,f,38,1988-1-12,213
apron,m,36,1994-9-24,913
jalapeño,m,33,1980-11-17,116
tab,f,19,1997-5-19,1402
peripheral,f,37,1983-6-8,1104
credibility,f,37,1989-4-5,57
bid,m,39,1999-8-16,562
cockroach,m,22,1983-10-15,557
fairy,m,36,1985-2-20,388
nitrogen,f,27,1986-7-19,152
find,m,2,1991-12-27,1238
landing,m,1,1989-3-1,1384
basis,f,32,1993-8-20,780
libido,m,9,1997-1-8,104
fireplace,m,7,1985-10-14,1443
filthy,m,24,1981-1-13,1493
pocket,m,19,1975-9-16,1110
listening,m,37,1993-6-7,21
cousin,m,13,1979-2-8,144
scarecrow,f,17,1998-5-9,302
pouch,m,3,1986-2-26,672
astrolabe,f,37,1996-7-21,1205
overweight,m,18,1997-3-4,1462
storage,m,23,1979-7-23,313
dune,m,26,1978-8-21,217
shade,f,18,1982-1-18,554
waterwheel,m,21,1985-2-10,679
embassy,m,29,1997-2-24,903
reasoning,f,40,1993-2-22,1436
molding,m,17,2000-2-12,604
cashew,m,11,1985-10-21,975
shortage,m,33,1990-6-3,295
leprosy,m,13,1995-11-1,455
outside,m,37,2001-11-16,396
trafficker,f,29,1977-6-12,233
deduction,f,8,1972-12-8,31
clammy,m,10,1983-12-9,31
hallowed,m,27,1980-1-19,439
bog,m,36,2002-9-9,439
shovel,f,5,1977-8-6,1371
clearing,m,22,1971-8-27,1153
probe,f,36,1971-6-4,961
hysterical,f,33,1977-7-21,752
corporatism,m,20,1979-2-16,982
vacation,f,8,1971-1-7,133
shrink,m,39,1987-2-22,411
nucleotidase,f,39,1985-12-26,921
drawer,m,18,1970-12-14,663
hearthside,f,6,1971-7-26,522
drab,m,39,1985-11-10,1350
ocean,f,22,1972-7-22,581
roof,m,10,1984-5-1,758
talented,m,18,1972-7-23,86
faculty,m,2,1993-3-11,1064
porch,m,4,1982-5-14,601
full,f,1,1977-10-14,79
entertaining,m,13,1975-8-20,589
blight,m,14,1993-10-15,1279
marshmallow,f,36,1996-9-8,1153
tobacco,m,32,1997-11-13,183
jewellery,f,15,1970-2-28,941
director,f,28,1990-5-20,914
ruddy,f,5,2001-9-18,873
pest,f,19,1979-11-22,675
gruesome,f,30,1994-10-7,1260
withdrawal,m,20,1985-5-6,1087
kazoo,m,12,1994-11-5,833
behaviour,m,27,1977-9-23,833
beech,m,20,1996-1-27,14
joy,m,16,1982-11-15,533
tune-up,f,24,1994-4-21,682
ballpark,m,28,1979-3-5,883
hydroxyl,m,7,1973-5-10,8
dolor,m,37,1989-3-24,954
snotty,m,38,1980-1-19,1484
dump truck,m,8,1973-2-26,1252
suburb,f,22,1981-11-20,790
news,m,4,1988-7-1,495
governance,m,22,1974-6-20,528
taro,m,34,1995-4-4,1332
thunder,m,28,1998-10-26,957
stop,f,5,1980-6-13,862
thirsty,m,26,1988-7-1,622
construct,m,21,1983-3-5,30
delegate,m,23,1993-10-8,217
dude,f,27,1979-10-10,501
guarantee,f,22,1984-7-6,128
belief,m,8,1991-5-27,448
psychoanalyst,m,20,2000-11-19,725
decide,m,27,2002-9-9,597
protein,m,14,1988-5-26,782
fingerling,m,31,1990-7-12,702
passing,m,20,1996-3-5,943
request,f,7,1999-2-23,544
step-uncle,m,15,2001-5-19,524
mileage,f,9,1999-2-18,979
indigence,m,29,1981-2-27,207
oceanic,m,31,1972-1-12,636
childhood,f,31,1983-12-12,295
present,m,19,1973-6-21,7
scotch,f,29,2002-1-8,894
mutation,f,8,1996-7-25,704
outrageous,f,30,1972-5-12,840
dandelion,m,5,1978-12-27,903
bankbook,f,30,1997-5-1,756
match,f,13,1976-4-10,334
gather,f,22,1975-10-11,345
protocol,f,11,1974-7-11,1209
tuba,m,26,1974-3-6,1266
peel,f,27,1976-8-17,574
event,m,27,1975-12-3,398
sneeze,m,40,1994-6-15,538
inexpensive,f,3,1985-10-8,458
wrinkle,f,31,1985-4-12,613
weigh,f,37,1983-2-11,740
limit,f,3,1972-5-19,938
gum,m,28,1975-7-3,583
hang,m,21,2000-6-4,745
forgetful,f,4,1983-7-8,424
absence,f,36,1974-12-28,298
deed,m,8,1997-10-20,1169
stingy,m,27,1987-12-24,471
island,f,31,1991-11-24,763
longitude,m,15,1984-3-4,1159
protective,f,17,1992-4-6,416
viola,m,29,1974-9-16,1061
constant,m,19,1994-8-23,10
furtive,m,5,1971-6-3,1049
guitar,f,27,1999-7-8,943
day,m,33,1988-2-23,770
toothpick,f,25,2002-9-26,893
colony,f,23,2000-8-14,63
suffocation,f,33,1993-3-13,1376
sultan,f,20,1993-4-11,786
hunter,f,31,1994-5-18,1384
marshmallow,f,35,1976-7-17,1221
understood,m,18,1993-2-13,37
celsius,f,34,1973-11-25,1162
grind,f,31,1982-10-10,971
turf,m,34,1996-8-14,157
kinase,f,37,1999-12-3,1109
trapezium,f,11,1993-6-13,167
surprise,f,1,1980-11-3,466
guy,m,28,1980-2-8,855
antibody,f,17,1997-8-13,200
sack,m,37,2001-2-6,1412
rural,m,4,1973-6-12,1467
elf,f,3,1996-10-15,1127
bottle,f,23,1995-4-25,1361
bust,m,14,2001-10-21,806
swine,f,40,1973-7-4,567
bangle,m,10,1986-8-27,762
cassava,m,35,1992-4-15,187
highfalutin,m,30,2002-3-26,1149
devilish,f,3,1983-11-7,870
processor,f,9,1994-11-9,121
plough,m,32,1979-11-16,1333
glasses,f,25,1993-6-23,798
apartment,m,7,1983-1-4,593
zinc,f,22,2002-1-22,914
blank,m,25,1982-12-13,1179
buckle,m,26,1988-8-4,882
anarchist,f,2,1991-2-14,1436
currency,f,7,1978-12-26,490
viola,m,3,1979-4-23,564
basics,m,23,1999-6-10,923
index,f,23,1976-4-9,393
topsail,f,23,2002-6-10,1377
bus,m,24,1991-5-8,870
view,m,7,1991-4-28,978
civilisation,m,15,1986-5-24,121
discount,m,36,1970-12-27,873
duel,m,14,1982-6-19,187
install,f,35,1978-6-13,1113
dirndl,m,32,1999-11-10,1004
dory,f,5,2000-9-19,1424
victim,m,1,1986-2-8,564
boycott,m,39,1977-10-24,812
immortal,m,3,1979-3-28,453
industrialization,f,18,1970-2-13,1156
reminiscent,m,13,1982-6-26,290
peasant,f,12,1994-10-28,1350
test,m,14,1972-9-20,752
gong,f,12,1991-9-28,574
zoology,m,7,1977-2-25,1405
disappointment,f,8,1974-11-27,132
huge,m,19,1987-7-16,544
waiver,m,14,1997-5-3,68
bullet,m,16,1974-12-23,1428
processing,f,17,2001-12-18,1000
protective,m,31,1979-10-13,60
disapprove,f,25,1972-7-12,766
enquiry,f,9,1977-11-15,295
combative,m,7,1970-9-13,723
borrow,m,20,1995-1-18,134
wretched,m,35,1982-1-18,413
pastry,m,20,2002-2-11,814
protect,m,21,1996-12-7,93
pitching,f,10,1981-2-17,406
dueling,m,39,1998-2-9,441
plaster,m,22,1972-6-23,412
sling,m,29,2000-8-25,193
disillusioned,m,23,1983-3-26,123
millisecond,f,8,1973-3-4,890
style,m,15,2001-3-22,383
niece,m,9,1994-5-23,1463
deputy,f,9,1985-8-8,1123
tacit,m,37,1980-5-20,722
confidentiality,m,27,2002-6-28,384
faint,m,16,1994-1-9,1075
communion,f,15,1981-1-11,1372
loss,f,0,1996-6-5,712
tempo,m,29,2000-1-18,57
grind,f,39,1986-5-1,862
supplement,m,7,1989-7-17,339
lewd,m,12,1983-11-16,41
commerce,f,39,1998-9-10,810
instrument,m,9,1990-10-7,32
flow,m,9,1976-6-25,1428
logo,f,14,1973-3-10,1035
achieve,f,16,1984-10-20,460
push,m,20,1984-5-15,1213
hunchback,f,27,1980-7-1,22
spot,f,3,1987-3-25,922
farming,f,0,1977-4-9,1486
evidence,m,18,1976-1-17,635
cleavage,m,1,1995-4-10,19
cultured,m,10,1993-12-8,972
seizure,f,2,2001-4-18,255
refuge,f,4,1980-12-25,520
forelimb,f,7,1999-10-16,773
shanty,m,37,1981-11-8,1390
saddle,m,15,1994-1-17,229
tenant,m,18,1998-12-10,783
tuna,f,22,1984-2-6,591
vegetation,m,33,1997-10-23,833
congregation,m,18,1999-9-4,251
possibility,f,28,1994-1-1,1397
commercial,f,32,1982-12-25,1411
train,f,14,2001-3-15,1255
hip,f,1,1997-10-9,1052
forgery,m,5,2001-2-19,1404
aide,f,4,1971-7-8,394
stylus,m,36,1992-8-24,505
disappointment,f,39,1991-8-8,470
burrito,f,29,1978-12-15,261
upper,m,14,1988-2-9,1302
attractive,f,9,2000-8-5,1039
hostel,m,14,1972-5-7,1293
flippant,f,28,1986-9-5,893
blend,f,12,1997-3-12,1273
glance,m,27,1991-11-18,1052
tasteless,m,21,2000-5-23,93
caffeine,m,4,1974-2-17,501
tissue,m,39,1989-8-25,904
utter,m,5,1973-9-8,164
nun,f,10,1970-2-4,1074
mouser,f,30,1989-3-9,599
seminar,f,12,1973-5-3,1058
rehabilitate,f,33,1983-6-8,380
capacity,f,20,1999-10-8,867
cement,f,14,1988-10-3,1372
dagger,f,15,1999-1-14,733
dwelling,m,20,1991-8-21,1156
identify,m,10,1977-7-15,97
deranged,m,7,1990-2-14,871
quartz,m,32,1983-5-5,1228
lentil,m,36,1970-11-23,251
meet,f,9,1970-9-23,238
detailed,m,32,1995-11-11,1390
exhaustion,f,8,1991-5-27,711
pig,m,3,1998-11-2,368
drawer,m,21,1993-8-21,1371
fir,f,27,1980-8-1,102
set,m,0,1979-12-11,1486
sender,m,0,1989-10-24,247
ladder,m,30,1980-6-9,1236
infusion,m,8,1971-11-15,1095
destiny,m,40,1992-11-27,768
convenience,m,37,1985-6-18,272
self,f,3,1991-7-11,1054
gossip,m,15,1988-2-8,231
yoga,m,15,1973-6-3,602
bellows,m,40,1993-9-5,702
daughter,f,10,1995-9-14,902
remind,f,35,1994-8-22,198
temperature,m,2,1973-10-19,691
back-up,f,11,1989-11-23,3
authority,m,34,1975-12-28,1054
contribution,f,40,1982-3-12,36
compose,f,1,1991-5-3,799
capitalism,f,38,1975-10-4,398
someplace,m,33,1989-10-14,1213
ethernet,f,37,2000-11-4,1450
tension,m,31,1980-4-7,481
topsail,f,10,1994-3-19,1107
beanstalk,m,24,1974-8-16,377
driver,f,39,1976-4-22,913
invader,m,21,2002-12-3,1149
wholesaler,f,16,1999-9-16,1481
marten,f,26,1971-9-2,279
workbench,f,3,1980-9-5,1385
being,f,12,1970-6-7,934
temper,m,28,2001-1-10,739
obsession,f,22,1975-6-3,1211
smite,m,3,1980-6-23,373
breakthrough,m,17,1982-8-6,1226
undesirable,f,10,1986-7-15,991
lock,f,20,1991-6-20,154
salami,m,6,1974-4-11,1420
rack,m,18,1980-11-23,1030
rainstorm,f,2,1980-9-25,1342
spruce,m,3,1993-4-13,75
hedgehog,m,21,1986-3-10,1146
narrow,f,12,1981-3-5,541
tight,f,28,1992-12-24,1203
overrated,m,10,1976-3-13,238
repeat,f,23,2000-2-3,461
interaction,m,12,2001-8-7,13
instrumentalist,f,30,1991-1-21,1041
sparerib,f,20,1998-6-15,1089
comeback,f,30,1983-11-27,986
utopian,f,19,1994-10-10,548
pat,f,4,1987-8-10,704
inauguration,m,5,1977-8-2,1244
spork,f,20,1997-2-20,503
upward,m,36,1989-6-23,531
security,f,25,1972-4-11,195
blow,f,18,1973-7-27,969
lonely,f,18,1992-1-19,1293
space,m,32,1975-10-25,1138
amenity,m,10,1992-2-26,486
wet,f,39,1976-12-19,194
bookend,f,12,2000-7-9,116
connection,m,7,1970-8-18,917
choir,m,39,1991-11-27,1204
folklore,f,21,1970-8-9,593
badge,f,9,1985-5-11,1178
ecosystem,m,27,1991-9-28,1214
former,f,31,1975-8-6,1484
transparency,m,14,1997-11-18,1424
aluminium,f,29,1996-10-7,435
complain,f,13,1978-5-3,418
beast,f,23,1986-8-17,1089
cirrus,m,22,2000-5-10,1347
geometry,f,23,1992-12-1,959
egg,m,39,1994-5-2,548
councilperson,m,12,1996-10-17,869
solicitor,f,16,1970-6-9,1119
blackness,f,34,1985-11-12,43
claw,m,29,1994-12-18,785
correspondent,f,2,1984-7-25,25
wish,m,9,1981-6-3,748
scheduling,m,2,1998-7-5,1077
caffeine,m,3,1994-10-9,1271
heterosexual,f,37,2000-4-27,160
demur,m,3,1972-9-28,1306
apology,m,10,1983-6-24,181
stingy,m,11,1977-6-20,817
manicure,f,3,2000-2-22,75
nexus,f,29,1997-2-14,977
servant,f,39,1980-1-20,763
administer,m,39,1984-12-11,962
fabric,f,9,1992-10-16,264
lung,f,8,1978-10-24,899
abundance,f,13,1975-7-6,1002
loyalty,m,4,1982-9-19,473
faded,m,21,1977-1-24,538
stencil,m,7,2002-4-21,107
stamina,m,22,1997-10-24,765
pudding,f,3,1981-1-6,382
underclothes,m,26,1986-11-4,460
litmus,m,2,1995-4-21,696
frail,f,12,1978-9-9,1071
truck,f,5,2002-6-8,1289
dill,m,14,1979-5-3,1247
plain,f,10,1989-7-23,520
consumption,m,1,1989-12-15,672
greedy,m,1,1985-9-13,484
neighbor,m,0,1975-1-26,824
adulthood,m,33,1995-6-13,1250
setting,f,21,1976-11-25,1120
steer,f,28,1992-3-10,911
porter,f,24,2001-1-28,1061
clarity,m,32,1990-8-24,863
yacht,f,25,1979-4-11,1359
arise,f,26,1995-2-22,369
lewd,f,24,1986-10-12,1144
rehospitalisation,f,30,1986-10-4,1448
baseboard,m,8,1982-10-19,897
filly,m,14,1975-1-27,547
reorganize,f,14,1982-10-21,1153
pinworm,m,23,1975-5-18,699
capitalism,f,37,1977-8-17,900
equinox,f,29,1985-4-10,887
nutmeg,f,19,1978-11-28,954
wilderness,m,37,1975-1-3,716
suit,f,34,2002-2-25,759
moor,m,18,1974-8-19,393
forum,f,40,1972-9-27,1140
negotiation,m,35,1975-8-6,232
inspector,f,39,1973-11-20,851
magnificent,m,18,1998-12-26,668
tap,m,36,2001-6-28,409
counsellor,f,9,1971-10-17,336
deliberation,f,21,1992-11-18,188
tights,f,17,1983-9-17,833
proofread,f,29,1984-4-18,532
lyre,f,5,1977-12-10,793
myth,m,35,2001-3-27,625
breast,m,20,1984-8-2,987
suspect,f,31,1977-2-26,1197
deduction,f,14,1987-8-6,176
husband,f,37,1993-12-26,1479
codon,m,16,1974-10-2,936
watercress,f,30,1988-1-23,1262
businessman,m,28,1977-6-21,131
causeway,m,31,1979-2-8,856
jumbo,f,3,1994-7-12,842
ear,m,15,1976-7-11,860
cornet,m,19,1994-5-25,238
cylinder,m,25,1999-2-19,917
edible,f,13,1973-6-28,1241
oceanic,m,27,1999-8-2,1130
universe,f,28,1977-9-19,101
unblinking,f,0,2001-12-9,1186
hope,m,1,2001-5-7,250
cake,m,28,1996-9-28,20
proofread,f,22,1974-2-26,1257
half,f,7,1974-11-25,1333
tragedy,f,9,1996-1-19,749
spite,m,18,1988-12-4,205
wake,m,4,1972-1-17,424
curtailment,m,15,2001-1-15,585
believer,f,11,1982-1-8,476
horde,f,25,2001-9-15,241
granddaughter,f,0,1987-12-15,51
cruel,m,18,2000-7-3,434
counter-force,m,33,1970-12-6,1292
applewood,f,9,1973-3-13,1257
originate,f,20,1970-12-17,10
hire,f,3,1980-8-24,23
daffodil,m,39,1990-11-21,435
rubber,f,34,1979-2-19,235
salt,m,17,2001-10-28,253
flock,f,35,1998-1-16,1261
ringworm,f,31,1989-1-15,1155
pistol,f,7,1975-2-23,957
gel,m,40,1995-10-3,480
similarity,m,26,1982-3-1,628
mailman,f,19,1975-3-24,1085
exocrine,f,28,1989-8-14,1288
tortilla,m,30,1996-10-1,992
paranoia,f,12,1999-4-22,800
pilgrimage,f,6,1980-11-20,504
spouse,m,20,1984-10-13,1011
constitution,f,1,1986-10-16,927
cayenne,m,13,1979-4-26,1155
peaceful,m,18,1986-12-7,979
good-bye,f,12,1973-5-18,154
stretch,m,39,1987-9-26,284
wildebeest,f,13,1986-3-16,1165
receptive,m,33,1985-9-3,503
jumpy,m,38,1998-9-10,597
river,m,25,1981-3-8,743
