idn,idm
518,128
519,506
520,981
521,174
522,789
523,133
524,969
525,310
526,176
527,385
528,310
529,272
530,369
531,233
532,1145
533,735
534,982
535,728
536,1097
537,130
538,799
539,869
540,900
541,946
542,1005
543,883
544,305
545,1070
546,266
547,787
548,1030
549,428
550,599
551,262
552,180
553,269
554,1159
555,641
556,225
557,16
558,827
559,495
560,770
561,824
562,508
563,1081
564,890
565,453
566,460
567,1019
568,18
569,1039
570,556
571,446
572,643
573,1081
574,590
575,154
576,563
577,1116
578,167
579,797
580,365
581,33
582,952
583,823
584,226
585,1019
586,56
587,486
588,1020
589,21
590,1179
591,514
592,252
593,793
594,333
595,282
596,1026
597,61
598,325
599,370
600,920
601,7
602,145
603,746
604,612
605,460
606,856
607,602
608,611
609,46
610,57
611,95
612,144
613,943
614,576
615,987
616,535
617,674
618,875
619,184
620,871
621,300
622,676
623,221
624,696
625,821
626,1147
627,9
628,37
629,692
630,1176
631,301
632,499
633,351
634,601
635,693
636,717
637,466
638,130
639,1082
640,318
641,770
642,232
643,800
644,71
645,116
646,305
647,1198
648,775
649,245
650,238
651,60
652,644
653,631
654,653
655,175
656,812
657,270
658,672
659,815
660,1122
661,373
662,1187
663,842
664,585
665,1120
666,836
667,430
668,313
669,591
670,1191
671,772
672,1078
673,88
674,605
675,301
676,116
677,107
678,736
679,1195
680,1045
681,29
682,722
683,824
684,332
685,245
686,157
687,293
688,971
689,793
690,101
691,1047
692,260
693,889
694,102
695,181
696,372
697,279
698,541
699,430
700,500
701,675
702,929
703,754
704,499
705,1065
706,571
707,221
708,916
709,129
710,971
711,150
712,107
713,665
714,253
715,393
716,539
717,1041
718,58
719,884
720,119
721,1137
722,69
723,972
724,175
725,884
726,641
727,487
728,276
729,1125
730,125
731,526
732,330
733,988
734,932
735,186
736,392
737,600
738,303
739,985
740,217
741,366
742,1193
743,1004
744,977
745,434
746,1046
747,869
748,1151
749,557
750,745
751,427
752,289
753,619
754,510
755,1085
756,1194
757,573
758,500
759,995
760,991
761,664
762,183
763,317
764,205
765,44
766,951
767,745
768,950
769,972
770,149
771,931
772,447
773,1179
774,769
775,825
776,346
777,77
778,548
779,431
780,1125
781,758
782,148
783,306
784,617
785,387
786,887
787,944
788,793
789,506
790,782
791,479
792,588
793,69
794,796
795,1152
796,1005
797,75
798,657
799,498
800,532
801,778
802,317
803,786
804,324
805,1036
806,279
807,902
808,711
809,1039
810,1078
811,5
812,260
813,433
814,79
815,954
816,8
817,468
818,1180
819,190
820,511
821,135
822,1124
823,851
824,835
825,1062
826,1070
827,1186
828,899
829,272
830,1088
831,937
832,485
833,755
834,1106
835,466
836,1081
837,95
838,95
839,871
840,453
841,911
842,917
843,180
844,877
845,982
846,501
847,1189
848,463
849,729
850,771
851,212
852,219
853,807
854,147
855,292
856,1022
857,1143
858,19
859,977
860,657
861,1167
862,581
863,937
864,652
865,950
866,109
867,585
868,858
869,525
870,43
871,102
872,743
873,769
874,407
875,251
876,793
877,671
878,829
879,471
880,438
881,295
882,253
883,1034
884,260
885,1006
886,118
887,305
888,1062
889,88
890,534
891,884
892,632
893,1083
894,954
895,328
896,627
897,1088
898,1164
899,392
900,1134
901,89
902,837
903,863
904,715
905,899
906,1181
907,822
908,690
909,639
910,171
911,212
912,464
913,1065
914,152
915,42
916,161
917,550
918,689
919,446
920,1005
921,412
922,819
923,74
924,462
925,534
926,462
927,22
928,1132
929,42
930,710
931,162
932,398
933,869
934,370
935,633
936,327
937,1001
938,795
939,657
940,100
941,926
942,186
943,717
944,623
945,252
946,704
947,691
948,356
949,783
950,401
951,1053
952,1079
953,1161
954,412
955,459
956,762
957,153
958,1015
959,1106
960,326
961,863
962,291
963,137
964,454
965,234
966,1052
967,696
968,748
969,537
970,686
971,825
972,1129
973,474
974,1052
975,544
976,1143
977,857
978,510
979,523
980,695
981,747
982,571
983,654
984,1075
985,1078
986,1192
987,811
988,102
989,701
990,176
991,204
992,437
993,672
994,1103
995,1040
996,142
997,745
998,485
999,1019
1000,378
1001,104
1002,732
1003,234
1004,880
1005,148
1006,721
1007,265
1008,918
1009,140
1010,1057
1011,1020
1012,1085
1013,1012
1014,430
1015,465
1016,439
1017,481
1018,809
1019,959
1020,413
1021,574
1022,1016
1023,749
1024,32
1025,1166
1026,1126
1027,1056
1028,70
1029,68
1030,416
1031,842
1032,708
1033,295
1034,49
1035,318
1036,1073
1037,8
1038,456
1039,812
1040,985
1041,475
1042,663
1043,634
1044,648
1045,585
1046,422
1047,891
1048,247
1049,300
1050,548
1051,749
1052,339
1053,1158
1054,109
1055,662
1056,758
1057,675
1058,657
1059,241
1060,922
1061,512
1062,739
1063,541
1064,537
1065,721
1066,796
1067,531
1068,1112
1069,833
1070,401
1071,419
1072,989
1073,913
1074,174
1075,673
1076,749
1077,446
1078,939
1079,158
1080,894
1081,53
1082,655
1083,963
1084,381
1085,960
1086,299
1087,722
1088,40
1089,1193
1090,423
1091,504
1092,47
1093,798
1094,566
1095,946
1096,823
1097,6
1098,1152
1099,213
1100,28
1101,1152
1102,636
1103,317
1104,185
1105,958
1106,198
1107,885
1108,955
1109,469
1110,486
1111,104
1112,400
1113,273
1114,1118
1115,1135
1116,652
1117,667
1118,746
1119,1166
1120,349
1121,638
1122,524
1123,858
1124,141
1125,42
1126,700
1127,358
1128,20
1129,740
1130,741
1131,483
1132,988
1133,996
1134,118
1135,343
1136,877
1137,984
1138,580
1139,258
1140,671
1141,1048
1142,153
1143,182
1144,248
1145,451
1146,337
1147,643
1148,446
1149,997
1150,828
1151,454
1152,681
1153,276
1154,204
1155,865
1156,22
1157,200
1158,865
1159,1122
1160,815
1161,615
1162,194
1163,1055
1164,518
1165,1002
1166,1111
1167,103
1168,605
1169,551
1170,399
1171,261
1172,1173
1173,1071
1174,809
1175,205
1176,1193
1177,231
1178,412
1179,969
1180,98
1181,770
1182,628
1183,578
1184,364
1185,721
1186,470
1187,1142
1188,971
1189,307
1190,293
1191,239
1192,824
1193,1141
1194,678
1195,134
1196,938
1197,128
1198,700
1199,983
1200,720
1201,214
1202,237
1203,504
1204,1033
1205,1038
1206,560
1207,648
1208,864
1209,47
1210,1013
1211,492
1212,590
1213,819
1214,861
1215,724
1216,258
1217,339
1218,821
1219,486
1220,862
1221,59
1222,479
1223,516
1224,613
1225,4
1226,29
1227,217
1228,918
1229,132
1230,580
1231,598
1232,666
1233,499
1234,591
1235,1198
1236,9
1237,351
1238,199
1239,263
1240,20
1241,452
1242,1034
1243,1038
1244,942
1245,459
1246,1119
1247,928
1248,126
1249,648
1250,290
1251,515
1252,528
1253,369
1254,570
1255,188
1256,470
1257,531
1258,45
1259,994
1260,1133
1261,649
1262,963
1263,703
1264,1118
1265,448
1266,47
1267,413
1268,639
1269,1176
1270,128
1271,939
1272,82
1273,744
1274,846
1275,1180
1276,1009
1277,864
1278,1089
1279,326
1280,1004
1281,393
1282,40
1283,253
1284,624
1285,664
1286,200
1287,347
1288,236
1289,307
1290,1127
1291,1009
1292,1080
1293,1005
1294,441
1295,897
1296,215
1297,7
1298,982
1299,268
1300,472
1301,1173
1302,955
1303,982
1304,115
1305,325
1306,192
1307,907
1308,1125
1309,750
1310,665
1311,1093
1312,550
1313,620
1314,239
1315,172
1316,50
1317,1014
1318,847
1319,48
1320,370
1321,269
1322,398
1323,944
1324,114
1325,418
1326,661
1327,1074
1328,532
1329,394
1330,634
1331,99
1332,959
1333,686
1334,868
1335,1033
1336,642
1337,539
1338,207
1339,926
1340,969
1341,1104
1342,960
1343,552
1344,65
1345,484
1346,241
1347,716
1348,630
1349,855
1350,978
1351,225
1352,715
1353,1116
1354,853
1355,1020
1356,426
1357,995
1358,1009
1359,287
1360,326
1361,1186
1362,136
1363,671
1364,229
1365,120
1366,969
1367,243
1368,686
1369,156
1370,159
1371,195
1372,369
1373,320
1374,276
1375,1116
1376,909
1377,1066
1378,614
1379,1120
1380,208
1381,13
1382,1070
1383,1197
1384,587
1385,793
1386,622
1387,760
1388,827
1389,768
1390,985
1391,785
1392,393
1393,18
1394,165
1395,938
1396,562
1397,647
1398,25
1399,340
1400,83
1401,697
1402,885
1403,688
1404,578
1405,1070
1406,664
1407,654
1408,275
1409,1092
1410,548
1411,566
1412,487
1413,491
1414,784
1415,564
1416,644
1417,98
1418,1168
1419,291
1420,129
1421,1198
1422,927
1423,366
1424,351
1425,451
1426,659
1427,222
1428,953
1429,85
1430,1020
1431,865
1432,834
1433,754
1434,850
1435,683
1436,1080
1437,1016
1438,604
1439,507
1440,57
1441,150
1442,883
1443,149
1444,94
1445,1123
1446,355
1447,310
1448,836
1449,46
1450,145
1451,948
1452,1155
1453,789
1454,661
1455,980
1456,446
1457,746
1458,594
1459,672
1460,418
1461,1109
1462,667
1463,801
1464,1041
1465,162
1466,95
1467,530
1468,872
1469,1108
1470,439
1471,397
1472,374
1473,461
1474,672
1475,251
1476,400
1477,235
1478,315
1479,516
1480,684
1481,39
1482,549
1483,530
1484,192
1485,164
1486,1180
1487,654
1488,457
1489,591
1490,355
1491,1180
1492,1165
1493,258
1494,915
1495,833
1496,268
1497,417
1498,195
1499,1162
1500,860
1501,1036
1502,506
1503,139
1504,1108
1505,305
1506,610
1507,645
1508,583
1509,912
1510,106
1511,788
1512,1121
1513,462
1514,499
1515,1165
1516,90
1517,75
1518,756
1519,50
1520,175
1521,587
1522,490
1523,269
1524,537
1525,214
1526,345
1527,674
1528,520
1529,872
1530,1129
1531,861
1532,475
1533,481
1534,910
1535,456
1536,272
1537,258
1538,404
1539,119
1540,117
1541,711
1542,811
1543,117
1544,922
1545,738
1546,213
1547,872
1548,607
1549,743
1550,1184
1551,668
1552,800
1553,1067
1554,42
1555,514
1556,1129
1557,238
1558,271
1559,393
1560,767
1561,796
1562,850
1563,329
1564,1009
1565,872
1566,642
1567,190
1568,410
1569,803
1570,492
1571,1065
1572,475
1573,797
1574,456
1575,552
1576,639
1577,680
1578,693
1579,832
1580,452
1581,71
1582,957
1583,427
1584,627
1585,219
1586,394
1587,467
1588,359
1589,825
1590,1188
1591,606
1592,342
1593,610
1594,1093
1595,823
1596,313
1597,159
1598,1083
1599,235
1600,332
1601,339
1602,1029
1603,482
1604,360
1605,606
1606,458
1607,148
1608,835
1609,1124
1610,958
1611,317
1612,742
1613,523
1614,1177
1615,263
1616,224
1617,303
1618,622
1619,94
1620,680
1621,235
1622,643
1623,269
1624,1177
1625,201
1626,366
1627,756
1628,500
1629,198
1630,97
1631,544
1632,52
1633,376
1634,72
1635,1178
1636,952
1637,82
1638,997
1639,623
1640,184
1641,962
1642,1116
1643,994
1644,456
1645,1106
1646,767
1647,397
1648,931
1649,841
1650,1166
1651,1165
1652,967
1653,4
1654,965
1655,385
1656,167
1657,1008
1658,260
1659,56
1660,907
1661,720
1662,563
1663,696
1664,543
1665,1164
1666,45
1667,91
1668,140
1669,393
1670,815
1671,629
1672,152
1673,1017
1674,1088
1675,1013
1676,317
1677,517
1678,686
1679,413
1680,1091
1681,97
1682,1097
1683,1120
1684,527
1685,12
1686,575
1687,815
1688,448
1689,373
1690,535
1691,9
1692,941
1693,140
1694,419
1695,100
1696,702
1697,277
1698,529
1699,958
1700,956
1701,439
1702,913
1703,1134
1704,597
1705,255
1706,538
1707,960
1708,179
1709,652
1710,879
1711,548
1712,650
1713,408
1714,649
1715,962
1716,257
1717,1020
1718,1198
1719,941
1720,985
1721,738
1722,99
1723,1065
1724,353
1725,1159
1726,147
1727,146
1728,558
1729,959
1730,16
1731,369
1732,134
1733,270
1734,525
1735,1035
1736,876
1737,42
1738,681
1739,1196
1740,775
1741,436
1742,98
1743,377
1744,508
1745,601
1746,1063
1747,731
1748,319
1749,1159
1750,420
1751,750
1752,218
1753,285
1754,705
1755,674
1756,831
1757,155
1758,180
1759,703
1760,685
1761,922
1762,324
1763,72
1764,1012
1765,767
1766,195
1767,54
1768,169
1769,1022
1770,131
1771,1189
1772,997
1773,49
1774,956
1775,523
1776,956
1777,931
1778,581
1779,828
1780,915
1781,846
1782,1100
1783,1030
1784,364
1785,111
1786,307
1787,837
1788,237
1789,843
1790,1108
1791,624
1792,566
1793,434
1794,1123
1795,737
1796,73
1797,509
1798,734
1799,601
1800,648
1801,462
1802,104
1803,544
1804,445
1805,31
1806,568
1807,379
1808,1141
1809,611
1810,507
1811,590
1812,515
1813,655
1814,846
1815,825
1816,129
1817,238
1818,1014
1819,109
1820,1035
1821,430
1822,685
1823,606
1824,59
1825,190
1826,964
1827,1135
1828,315
1829,212
1830,739
1831,273
1832,423
1833,270
1834,695
1835,351
1836,309
1837,367
1838,218
1839,122
1840,14
1841,879
1842,415
1843,996
1844,330
1845,354
1846,958
1847,496
1848,807
1849,1179
1850,755
1851,94
1852,829
1853,516
1854,813
1855,810
1856,850
1857,1080
1858,193
1859,1183
1860,842
1861,181
1862,49
1863,427
1864,399
1865,100
1866,563
1867,854
1868,267
1869,344
1870,592
1871,616
1872,64
1873,622
1874,253
1875,1187
1876,690
1877,516
1878,374
1879,180
1880,205
1881,113
1882,934
1883,185
1884,169
1885,806
1886,376
1887,366
1888,1174
1889,347
1890,231
1891,1024
1892,688
1893,179
1894,361
1895,814
1896,144
1897,73
1898,690
1899,100
1900,162
1901,965
1902,532
1903,1199
1904,118
1905,640
1906,58
1907,189
1908,704
1909,550
1910,913
1911,66
1912,246
1913,442
1914,519
1915,1061
1916,814
1917,747
1918,1134
1919,846
1920,208
1921,84
1922,239
1923,145
1924,1059
1925,397
1926,170
1927,253
1928,757
1929,250
1930,1055
1931,256
1932,693
1933,1018
1934,650
1935,454
1936,96
1937,1117
1938,1000
1939,204
1940,1015
1941,584
1942,856
1943,1133
1944,415
1945,1097
1946,278
1947,996
1948,982
1949,670
1950,1091
1951,75
1952,758
1953,624
1954,1171
1955,217
1956,1163
1957,948
1958,487
1959,588
1960,907
1961,790
1962,952
1963,902
1964,688
1965,1176
1966,737
1967,866
1968,677
1969,612
1970,158
1971,787
1972,597
1973,791
1974,536
1975,727
1976,1177
1977,429
1978,739
1979,945
1980,451
1981,603
1982,223
1983,1072
1984,793
1985,291
1986,1162
1987,1
1988,302
1989,754
1990,944
1991,525
1992,1134
1993,378
1994,282
1995,889
1996,890
1997,1014
1998,20
1999,367
2000,887
2001,1179
2002,792
2003,1153
2004,85
2005,564
2006,659
2007,349
2008,646
2009,717
2010,1128
2011,43
2012,903
2013,848
2014,1035
2015,322
2016,505
2017,280
2018,420
2019,282
2020,809
2021,391
2022,274
2023,40
2024,261
2025,652
2026,1144
2027,1024
2028,552
2029,529
2030,774
2031,306
2032,426
2033,1042
2034,18
2035,1019
2036,86
2037,691
2038,332
2039,300
2040,609
2041,1033
2042,304
2043,355
2044,325
2045,14
2046,1159
2047,1098
2048,259
2049,591
2050,120
2051,1167
2052,704
2053,335
2054,328
2055,295
2056,747
2057,822
2058,745
2059,913
2060,10
2061,99
2062,1153
2063,569
2064,1146
2065,2
2066,817
2067,193
2068,922
2069,63
2070,294
2071,428
2072,1198
2073,1176
2074,625
2075,4
2076,1055
2077,138
2078,171
2079,1080
2080,258
2081,350
2082,29
2083,689
2084,463
2085,1093
2086,1188
2087,813
2088,591
2089,279
2090,194
2091,600
2092,595
2093,416
2094,1065
2095,419
2096,737
2097,416
2098,1024
2099,580
2100,399
2101,164
2102,743
2103,641
2104,689
2105,55
2106,368
2107,873
2108,844
2109,862
2110,190
2111,656
2112,272
2113,774
2114,339
2115,858
2116,675
2117,934
2118,744
2119,1108
2120,990
2121,880
2122,101
2123,339
2124,615
2125,400
2126,171
2127,942
2128,135
2129,515
2130,921
2131,393
2132,1040
2133,158
2134,129
2135,885
2136,439
2137,67
2138,349
2139,1057
2140,886
2141,977
2142,758
2143,253
2144,1095
2145,177
2146,818
2147,1143
2148,1187
2149,290
2150,55
2151,173
2152,295
2153,497
2154,1171
2155,156
2156,902
2157,793
2158,341
2159,963
2160,477
2161,288
2162,1092
2163,783
2164,1095
2165,864
2166,610
2167,539
2168,382
2169,383
2170,918
2171,1144
2172,634
2173,291
2174,368
2175,1013
2176,1091
2177,513
2178,368
2179,144
2180,546
2181,241
2182,537
2183,1005
2184,696
2185,1035
2186,74
2187,250
2188,565
2189,687
2190,181
2191,316
2192,709
2193,502
2194,546
2195,1099
2196,597
2197,435
2198,1037
2199,1097
2200,646
2201,661
2202,1139
2203,1002
2204,1075
2205,1103
2206,296
2207,677
2208,735
2209,807
2210,776
2211,132
2212,465
2213,1055
2214,967
2215,167
2216,1083
2217,1159
2218,213
2219,378
2220,319
2221,197
2222,416
2223,934
2224,571
2225,60
2226,230
2227,65
2228,1186
2229,242
2230,972
2231,345
2232,102
2233,440
2234,173
2235,802
2236,160
2237,840
2238,378
2239,1149
2240,860
2241,359
2242,485
2243,902
2244,602
2245,139
2246,1060
2247,645
2248,247
2249,487
2250,137
2251,1123
2252,667
2253,772
2254,311
2255,756
2256,378
2257,829
2258,152
2259,786
2260,401
2261,641
2262,388
2263,575
2264,282
2265,108
2266,977
2267,235
2268,701
2269,140
2270,554
2271,1042
2272,729
2273,756
2274,868
2275,1148
2276,662
2277,571
2278,689
2279,391
2280,39
2281,381
2282,1182
2283,929
2284,672
2285,932
2286,1173
2287,641
2288,417
2289,877
2290,366
2291,926
2292,887
2293,190
2294,1186
2295,759
2296,668
2297,745
2298,349
2299,521
2300,1155
2301,241
2302,611
2303,454
2304,576
2305,346
2306,1119
2307,790
2308,1157
2309,516
2310,1072
2311,709
2312,976
2313,1131
2314,684
2315,106
2316,584
2317,476
2318,400
2319,1121
2320,379
2321,1029
2322,757
2323,539
2324,736
2325,1001
2326,950
2327,633
2328,728
2329,782
2330,1163
2331,980
2332,659
2333,106
2334,300
2335,359
2336,564
2337,870
2338,759
2339,338
2340,225
2341,537
2342,625
2343,807
2344,275
2345,206
2346,68
2347,43
2348,312
2349,405
2350,745
2351,332
2352,130
2353,334
2354,1001
2355,894
2356,66
2357,935
2358,952
2359,478
2360,590
2361,994
2362,499
2363,723
2364,867
2365,1088
2366,317
2367,512
2368,313
2369,863
2370,248
2371,20
2372,1134
2373,1100
2374,745
2375,665
2376,462
2377,329
2378,20
2379,709
2380,528
2381,727
2382,1021
2383,918
2384,606
2385,1153
2386,992
2387,835
2388,607
2389,711
2390,1126
2391,956
2392,532
2393,61
2394,834
2395,339
2396,47
2397,262
2398,660
2399,147
2400,846
2401,587
2402,558
2403,801
2404,654
2405,951
2406,777
2407,90
2408,997
2409,1146
2410,71
2411,901
2412,388
2413,428
2414,1153
2415,680
2416,852
2417,1062
2418,646
2419,219
2420,881
2421,965
2422,337
2423,903
2424,333
2425,84
2426,1108
2427,929
2428,77
2429,672
2430,38
2431,1106
2432,810
2433,228
2434,504
2435,225
2436,662
2437,700
2438,353
2439,423
2440,538
2441,1198
2442,372
2443,28
2444,182
2445,1055
2446,70
2447,64
2448,293
2449,501
2450,1070
2451,454
2452,403
2453,302
2454,945
2455,910
2456,578
2457,391
2458,937
2459,152
2460,904
2461,906
2462,187
2463,1120
2464,167
2465,303
2466,296
2467,188
2468,528
2469,924
2470,50
2471,1149
2472,991
2473,1053
2474,224
2475,924
2476,466
2477,367
2478,914
2479,606
2480,427
2481,529
2482,912
2483,415
2484,771
2485,840
2486,827
2487,1143
2488,508
2489,1158
2490,666
2491,573
2492,189
2493,1150
2494,623
2495,1102
2496,723
2497,1198
2498,1150
2499,1161
2500,1119
2501,26
2502,880
2503,1040
2504,562
2505,97
2506,691
2507,539
2508,823
2509,337
2510,715
2511,311
2512,728
2513,75
2514,390
2515,412
2516,175
2517,660
2518,892
2519,833
2520,581
2521,1102
2522,58
2523,827
2524,119
2525,931
2526,939
2527,598
2528,787
2529,188
2530,948
2531,461
2532,1048
2533,58
2534,163
2535,1155
2536,207
2537,1156
2538,53
2539,555
2540,881
2541,151
2542,801
2543,744
2544,891
2545,796
2546,95
2547,490
2548,640
2549,43
2550,169
2551,449
2552,398
2553,979
2554,20
2555,704
2556,791
2557,1174
2558,916
2559,170
2560,165
2561,970
2562,491
2563,77
2564,100
2565,908
2566,1166
2567,529
2568,761
2569,385
2570,1013
2571,997
2572,596
2573,1144
2574,545
2575,659
2576,182
2577,82
2578,429
2579,451
2580,490
2581,866
2582,510
2583,1101
2584,783
2585,1184
2586,425
2587,521
2588,682
2589,123
2590,454
2591,71
2592,1047
2593,252
2594,691
2595,897
2596,487
2597,1199
2598,1071
2599,570
2600,1091
2601,626
2602,1041
2603,14
2604,841
2605,1130
2606,1085
2607,486
2608,895
2609,58
2610,1170
2611,256
2612,1102
2613,378
2614,137
2615,15
2616,826
2617,687
2618,956
2619,52
2620,20
2621,273
2622,538
2623,324
2624,933
2625,841
2626,601
2627,1191
2628,436
2629,1110
2630,4
2631,254
2632,189
2633,1003
2634,294
2635,1156
2636,868
2637,390
2638,877
2639,1191
2640,660
2641,1027
2642,29
2643,1177
2644,844
2645,506
2646,750
2647,507
2648,877
2649,519
2650,1085
2651,67
2652,411
2653,22
2654,86
2655,507
2656,479
2657,440
2658,693
2659,1104
2660,1092
2661,599
2662,895
2663,462
2664,715
2665,192
2666,416
2667,618
2668,723
2669,372
2670,530
2671,746
2672,1038
2673,9
2674,1164
2675,654
2676,1090
2677,716
2678,270
2679,718
2680,253
2681,1189
2682,112
2683,887
2684,897
2685,464
2686,1001
2687,701
2688,183
2689,1057
2690,611
2691,182
2692,835
2693,406
2694,1002
2695,828
2696,412
2697,356
2698,1164
2699,56
2700,546
2701,900
2702,352
2703,1032
2704,727
2705,116
2706,891
2707,786
2708,981
2709,614
2710,1117
2711,521
2712,388
2713,1138
2714,10
2715,414
2716,352
2717,570
2718,717
2719,298
2720,629
2721,373
2722,132
2723,726
2724,816
2725,1176
2726,598
2727,847
2728,26
2729,132
2730,587
2731,64
2732,345
2733,655
2734,441
2735,53
2736,469
2737,265
2738,386
2739,438
2740,865
2741,801
2742,928
2743,1145
2744,494
2745,627
2746,90
2747,1171
2748,357
2749,423
2750,262
2751,958
2752,1098
2753,803
2754,837
2755,1049
2756,996
2757,994
2758,115
2759,652
2760,1083
2761,24
2762,304
2763,286
2764,1048
2765,31
2766,815
2767,398
2768,382
2769,955
2770,515
2771,471
2772,1188
2773,453
2774,863
2775,1012
2776,398
2777,275
2778,674
2779,120
2780,306
2781,770
2782,782
2783,181
2784,1151
2785,954
2786,1085
2787,514
2788,1048
2789,807
2790,1010
2791,826
2792,835
2793,638
2794,861
2795,587
2796,306
2797,63
2798,167
2799,104
2800,191
2801,159
2802,1095
2803,1041
2804,221
2805,819
2806,335
2807,1003
2808,557
2809,528
2810,942
2811,732
2812,1182
2813,193
2814,513
2815,604
2816,729
2817,640
2818,591
2819,810
2820,1017
2821,828
2822,843
2823,428
2824,607
2825,912
2826,830
2827,554
2828,1056
2829,820
2830,1037
2831,999
2832,403
2833,984
2834,630
2835,1058
2836,427
2837,891
2838,917
2839,1016
2840,1126
2841,393
2842,554
2843,960
2844,640
2845,836
2846,1112
2847,25
2848,113
2849,1016
2850,287
2851,440
2852,315
2853,924
2854,19
2855,745
2856,849
2857,648
2858,467
2859,689
2860,1017
2861,488
2862,1091
2863,74
2864,671
2865,922
2866,828
2867,38
2868,1141
2869,778
2870,1140
2871,614
2872,248
2873,1007
2874,1182
2875,777
2876,47
2877,245
2878,747
2879,47
2880,252
2881,224
2882,1080
2883,861
2884,467
2885,189
2886,1122
2887,116
2888,432
2889,378
2890,523
2891,896
2892,714
2893,318
2894,1129
2895,927
2896,415
2897,210
2898,934
2899,155
2900,55
